epoch,a,b,add_target,mm21_target,total_epochs,q1_exclusive_rate,q2_exclusive_rate,split_rate,tie_or_missing_rate,q1_exclusive_count,q2_exclusive_count,split_count,tie_or_missing_count
500,7,3,10,0,500,0.01,0.008,0.948,0.034,5,4,474,17
500,7,4,11,7,500,0.002,0.012,0.942,0.044,1,6,471,22
500,7,7,14,7,500,0.722,0.008,0.194,0.076,361,4,97,38
500,7,8,15,14,500,0.086,0.048,0.796,0.07,43,24,398,35
500,7,9,16,0,500,0.006,0.008,0.924,0.062,3,4,462,31
500,7,11,18,14,500,0.284,0.068,0.55,0.098,142,34,275,49
500,7,13,20,7,500,0.03,0.008,0.908,0.054,15,4,454,27
500,8,0,8,0,500,0.034,0.002,0.93,0.034,17,1,465,17
500,8,1,9,8,500,0.07,0.036,0.834,0.06,35,18,417,30
500,8,3,11,3,500,0.034,0.09,0.802,0.074,17,45,401,37
500,8,5,13,19,500,0.05,0.02,0.858,0.072,25,10,429,36
500,8,6,14,6,500,0.106,0.016,0.798,0.08,53,8,399,40
500,8,7,15,14,500,0.116,0.048,0.748,0.088,58,24,374,44
500,8,9,17,9,500,0.054,0.026,0.848,0.072,27,13,424,36
500,8,11,19,4,500,0.034,0.006,0.88,0.08,17,3,440,40
500,8,12,20,12,500,0.12,0.086,0.63,0.164,60,43,315,82
500,9,4,13,15,500,0.106,0.294,0.42,0.18,53,147,210,90
500,9,5,14,3,500,0.14,0.044,0.734,0.082,70,22,367,41
500,9,6,15,12,500,0.112,0.04,0.716,0.132,56,20,358,66
500,9,7,16,0,500,0.006,0.008,0.94,0.046,3,4,470,23
500,9,8,17,9,500,0.056,0.054,0.776,0.114,28,27,388,57
500,9,11,20,15,500,0.084,0.6,0.064,0.252,42,300,32,126
500,10,0,10,0,500,0.014,0.008,0.944,0.034,7,4,472,17
500,10,1,11,10,500,0.126,0.284,0.336,0.254,63,142,168,127
500,10,2,12,20,500,0.172,0.108,0.562,0.158,86,54,281,79
500,10,4,14,19,500,0.326,0.024,0.486,0.164,163,12,243,82
500,10,5,15,8,500,0.058,0.054,0.78,0.108,29,27,390,54
500,10,6,16,18,500,0.116,0.028,0.544,0.312,58,14,272,156
500,10,7,17,7,500,0.034,0.004,0.918,0.044,17,2,459,22
500,10,8,18,17,500,0.136,0.038,0.65,0.176,68,19,325,88
500,10,9,19,6,500,0.068,0.04,0.808,0.084,34,20,404,42
500,11,0,11,0,500,0.012,0.004,0.946,0.038,6,2,473,19
500,11,1,12,11,500,0.028,0.034,0.858,0.08,14,17,429,40
500,11,2,13,1,500,0.018,0.426,0.21,0.346,9,213,105,173
500,11,6,17,3,500,0.062,0.026,0.854,0.058,31,13,427,29
500,11,8,19,4,500,0.056,0.014,0.884,0.046,28,7,442,23
500,11,9,20,15,500,0.074,0.66,0.076,0.19,37,330,38,95
500,12,0,12,0,500,0.044,0.002,0.922,0.032,22,1,461,16
500,12,1,13,12,500,0.088,0.042,0.71,0.16,44,21,355,80
500,12,4,16,6,500,0.13,0.056,0.712,0.102,65,28,356,51
500,12,5,17,18,500,0.06,0.082,0.696,0.162,30,41,348,81
500,12,6,18,9,500,0.196,0.074,0.622,0.108,98,37,311,54
500,12,8,20,12,500,0.124,0.056,0.68,0.14,62,28,340,70
500,13,1,14,13,500,0.122,0.01,0.786,0.082,61,5,393,41
500,13,3,16,18,500,0.144,0.052,0.582,0.222,72,26,291,111
500,13,4,17,10,500,0.02,0.042,0.864,0.074,10,21,432,37
500,13,5,18,2,500,0.092,0.05,0.726,0.132,46,25,363,66
500,14,0,14,0,500,0.67,0.002,0.242,0.086,335,1,121,43
500,14,1,15,14,500,0.078,0.056,0.796,0.07,39,28,398,35
500,14,2,16,7,500,0.01,0.012,0.924,0.054,5,6,462,27
500,14,3,17,0,500,0.028,0.004,0.916,0.052,14,2,458,26
500,14,4,18,14,500,0.244,0.028,0.652,0.076,122,14,326,38
500,14,5,19,7,500,0.102,0.018,0.832,0.048,51,9,416,24
500,15,0,15,0,500,0.018,0.008,0.94,0.034,9,4,470,17
500,15,2,17,9,500,0.082,0.04,0.79,0.088,41,20,395,44
500,16,0,16,0,500,0.006,0.006,0.934,0.054,3,3,467,27
500,16,2,18,11,500,0.024,0.056,0.864,0.056,12,28,432,28
500,16,3,19,6,500,0.078,0.018,0.808,0.096,39,9,404,48
500,17,0,17,0,500,0.014,0.0,0.93,0.056,7,0,465,28
500,17,1,18,17,500,0.156,0.022,0.7,0.122,78,11,350,61
500,17,2,19,13,500,0.068,0.016,0.854,0.062,34,8,427,31
500,17,3,20,9,500,0.142,0.036,0.746,0.076,71,18,373,38
500,18,0,18,0,500,0.02,0.002,0.944,0.034,10,1,472,17
500,18,2,20,15,500,0.138,0.518,0.14,0.204,69,259,70,102
500,19,0,19,0,500,0.016,0.004,0.94,0.04,8,2,470,20
500,19,1,20,19,500,0.122,0.044,0.736,0.098,61,22,368,49
500,20,0,20,0,500,0.014,0.004,0.946,0.036,7,2,473,18
1000,0,2,2,0,500,0.0,0.0,1.0,0.0,0,0,500,0
1000,0,5,5,0,500,0.0,0.0,1.0,0.0,0,0,500,0
1000,0,6,6,0,500,0.046,0.0,0.942,0.012,23,0,471,6
1000,0,7,7,0,500,0.82,0.02,0.044,0.116,410,10,22,58
1000,0,8,8,0,500,0.0,0.0,1.0,0.0,0,0,500,0
1000,0,10,10,0,500,0.0,0.0,0.998,0.002,0,0,499,1
1000,0,11,11,0,500,0.0,0.0,1.0,0.0,0,0,500,0
1000,0,14,14,0,500,0.404,0.004,0.548,0.044,202,2,274,22
1000,0,15,15,0,500,0.012,0.006,0.982,0.0,6,3,491,0
1000,0,16,16,0,500,0.0,0.0,1.0,0.0,0,0,500,0
1000,0,20,20,0,500,0.0,0.002,0.998,0.0,0,1,499,0
1000,1,0,1,0,500,0.0,0.0,0.998,0.002,0,0,499,1
1000,1,1,2,1,500,0.068,0.058,0.51,0.364,34,29,255,182
1000,1,3,4,3,500,0.124,0.19,0.386,0.3,62,95,193,150
1000,1,4,5,4,500,0.052,0.05,0.858,0.04,26,25,429,20
1000,1,5,6,5,500,0.014,0.02,0.802,0.164,7,10,401,82
1000,1,7,8,7,500,0.0,0.0,1.0,0.0,0,0,500,0
1000,1,8,9,8,500,0.002,0.008,0.99,0.0,1,4,495,0
1000,1,9,10,9,500,0.01,0.012,0.978,0.0,5,6,489,0
1000,1,11,12,11,500,0.018,0.012,0.956,0.014,9,6,478,7
1000,1,13,14,13,500,0.008,0.002,0.988,0.002,4,1,494,1
1000,1,14,15,14,500,0.012,0.03,0.938,0.02,6,15,469,10
1000,1,18,19,18,500,0.246,0.012,0.656,0.086,123,6,328,43
1000,1,19,20,19,500,0.046,0.04,0.894,0.02,23,20,447,10
1000,2,3,5,6,500,0.008,0.034,0.89,0.068,4,17,445,34
1000,2,8,10,16,500,0.116,0.062,0.518,0.304,58,31,259,152
1000,2,10,12,20,500,0.0,0.0,1.0,0.0,0,0,500,0
1000,2,11,13,1,500,0.016,0.582,0.122,0.28,8,291,61,140
1000,2,12,14,3,500,0.008,0.008,0.984,0.0,4,4,492,0
1000,2,14,16,7,500,0.0,0.0,1.0,0.0,0,0,500,0
1000,2,15,17,9,500,0.108,0.024,0.858,0.01,54,12,429,5
1000,2,18,20,15,500,0.028,0.73,0.092,0.15,14,365,46,75
1000,3,0,3,0,500,0.004,0.002,0.994,0.0,2,1,497,0
1000,3,2,5,6,500,0.006,0.1,0.732,0.162,3,50,366,81
1000,3,4,7,12,500,0.326,0.042,0.592,0.04,163,21,296,20
1000,3,5,8,15,500,0.018,0.108,0.822,0.052,9,54,411,26
1000,3,6,9,18,500,0.08,0.094,0.78,0.046,40,47,390,23
1000,3,7,10,0,500,0.0,0.0,1.0,0.0,0,0,500,0
1000,3,8,11,3,500,0.01,0.032,0.944,0.014,5,16,472,7
1000,3,9,12,6,500,0.008,0.002,0.99,0.0,4,1,495,0
1000,3,10,13,9,500,0.0,0.0,1.0,0.0,0,0,500,0
1000,3,13,16,18,500,0.112,0.026,0.668,0.194,56,13,334,97
1000,3,14,17,0,500,0.0,0.0,1.0,0.0,0,0,500,0
1000,3,15,18,3,500,0.69,0.028,0.176,0.106,345,14,88,53
1000,3,16,19,6,500,0.0,0.002,0.998,0.0,0,1,499,0
1000,3,17,20,9,500,0.0,0.006,0.994,0.0,0,3,497,0
1000,4,0,4,0,500,0.0,0.0,1.0,0.0,0,0,500,0
1000,4,2,6,8,500,0.026,0.042,0.93,0.002,13,21,465,1
1000,4,5,9,20,500,0.002,0.002,0.996,0.0,1,1,498,0
1000,4,6,10,3,500,0.162,0.05,0.724,0.064,81,25,362,32
1000,4,7,11,7,500,0.0,0.0,1.0,0.0,0,0,500,0
1000,4,8,12,11,500,0.016,0.02,0.96,0.004,8,10,480,2
1000,4,9,13,15,500,0.018,0.42,0.342,0.22,9,210,171,110
1000,4,10,14,19,500,0.05,0.0,0.94,0.01,25,0,470,5
1000,4,11,15,2,500,0.014,0.01,0.904,0.072,7,5,452,36
1000,4,12,16,6,500,0.034,0.002,0.93,0.034,17,1,465,17
1000,4,13,17,10,500,0.016,0.0,0.982,0.002,8,0,491,1
1000,4,14,18,14,500,0.066,0.01,0.904,0.02,33,5,452,10
1000,4,16,20,1,500,0.0,0.002,0.998,0.0,0,1,499,0
1000,5,0,5,0,500,0.002,0.0,0.998,0.0,1,0,499,0
1000,5,2,7,10,500,0.0,0.0,1.0,0.0,0,0,500,0
1000,5,3,8,15,500,0.022,0.086,0.844,0.048,11,43,422,24
1000,5,4,9,20,500,0.002,0.002,0.996,0.0,1,1,498,0
1000,5,5,10,4,500,0.054,0.068,0.84,0.038,27,34,420,19
1000,5,7,12,14,500,0.03,0.046,0.924,0.0,15,23,462,0
1000,5,9,14,3,500,0.004,0.01,0.986,0.0,2,5,493,0
1000,5,10,15,8,500,0.002,0.02,0.968,0.01,1,10,484,5
1000,5,11,16,13,500,0.03,0.0,0.902,0.068,15,0,451,34
1000,5,12,17,18,500,0.004,0.006,0.99,0.0,2,3,495,0
1000,5,14,19,7,500,0.012,0.002,0.986,0.0,6,1,493,0
1000,5,15,20,12,500,0.01,0.002,0.982,0.006,5,1,491,3
1000,6,1,7,6,500,0.016,0.0,0.984,0.0,8,0,492,0
